outputtimes,rmsx,rmsy,rmsh,rmsz
Thursday 01-Feb-2018 00:00:00,2.51907041569603,2.50002178422037,3.82967914623462,1.12395868455472
Thursday 01-Feb-2018 01:00:00,2.48820569630123,2.47441699884001,3.79628816916512,1.15921749886638
Thursday 01-Feb-2018 02:00:00,2.50329300491824,2.50526547098348,3.79133512944072,1.20240260449877
Thursday 01-Feb-2018 03:00:00,2.55417293708043,2.580299150068,3.90387764045558,1.24916738457791
Thursday 01-Feb-2018 04:00:00,2.6085273977235,2.60349885934746,3.98783836275501,1.30276621114296
Thursday 01-Feb-2018 05:00:00,2.79781514401207,2.79414523716978,4.2757034384012,1.39275661229905
Thursday 01-Feb-2018 06:00:00,3.0009743933675,3.00757693728839,4.60910753292442,1.57972014404143
Thursday 01-Feb-2018 07:00:00,3.46562148526314,3.44774695871448,5.33242592952581,1.82232289727705
Thursday 01-Feb-2018 08:00:00,4.17189565835616,4.13509566612981,6.45680954277909,2.19898944791042
Thursday 01-Feb-2018 09:00:00,4.83412598477263,4.88638894884876,7.63326501809244,2.65400068141242
Thursday 01-Feb-2018 10:00:00,5.11008464307182,5.13967247774902,7.96008644009691,2.61055814215554
Thursday 01-Feb-2018 11:00:00,5.64581440349658,5.58059552965557,8.77157111539806,2.51103176422692
Thursday 01-Feb-2018 12:00:00,5.26905188454873,5.22647696064644,8.15608426187271,2.62428675337652
Thursday 01-Feb-2018 13:00:00,5.40160863125947,5.37262923598372,8.39051820103488,2.67070948440572
Thursday 01-Feb-2018 14:00:00,4.99844600413108,4.92009356299861,7.75966058869104,2.4163510807845
Thursday 01-Feb-2018 15:00:00,5.01228987573039,5.01181916096199,7.83366456169551,2.19841792404634
Thursday 01-Feb-2018 16:00:00,4.80081459647103,4.72596376038968,7.40824890996768,2.21823887366265
Thursday 01-Feb-2018 17:00:00,4.11979401265195,4.09183035852991,6.33211212707367,1.88310097618993
Thursday 01-Feb-2018 18:00:00,3.53350273304018,3.57042718648716,5.46593753813927,1.66316465699373
Thursday 01-Feb-2018 19:00:00,3.06679061149952,3.02664443411462,4.65904482340971,1.39582831344804
Thursday 01-Feb-2018 20:00:00,2.8523775118336,2.80696676352672,4.2816794454523,1.29393023649353
Thursday 01-Feb-2018 21:00:00,2.55648330488661,2.4121010129357,3.7557206007863,1.15093919656898
Thursday 01-Feb-2018 22:00:00,2.57631912463921,2.47313155013891,3.82996225627906,1.14788871047442
Thursday 01-Feb-2018 23:00:00,2.45210964942772,2.35237456080341,3.63587884354302,1.10891974861241
Friday 02-Feb-2018 00:00:00,2.37433662996065,2.26084970890021,3.52178058170173,1.08451455604797
Friday 02-Feb-2018 01:00:00,2.45759123919928,2.40420045241996,3.67853954253938,1.12677030342679
Friday 02-Feb-2018 02:00:00,2.48834328250791,2.47499879673409,3.75654260224546,1.14414298503814
Friday 02-Feb-2018 03:00:00,2.60207829065793,2.5844626674338,3.95058306906016,1.18919480807208
Friday 02-Feb-2018 04:00:00,2.61058610005798,2.57446605846661,3.95738750785746,1.22073585662133
Friday 02-Feb-2018 05:00:00,3.0553736979831,2.99495159134892,4.63419354446899,1.36346425880986
Friday 02-Feb-2018 06:00:00,3.35162507507017,3.19567214644257,5.07512374194721,1.43803375462927
Friday 02-Feb-2018 07:00:00,4.06838133990487,3.88609425005292,6.22792826990504,1.82321406892526
Friday 02-Feb-2018 08:00:00,5.32098478929575,4.9523903611409,8.08513502961349,2.4811526852252
Friday 02-Feb-2018 09:00:00,5.10318821907736,4.96076267678288,7.93016318069409,2.47064040677301
Friday 02-Feb-2018 10:00:00,6.64198587862337,6.36273789127133,10.2649786836419,2.77685899461426
Friday 02-Feb-2018 11:00:00,6.3382236125966,6.07390850141826,9.7886056174596,2.79916605746116
Friday 02-Feb-2018 12:00:00,7.53865636630077,6.86993082862432,11.515596977453,3.18385775603051
Friday 02-Feb-2018 13:00:00,7.10311672396274,6.5985142288656,10.9559095202063,3.16148452899684
Friday 02-Feb-2018 14:00:00,6.35629494758675,5.96590534370586,9.76201677432175,2.71465609709524
Friday 02-Feb-2018 15:00:00,6.05682936345352,5.83449226729003,9.42559935503159,2.31712045505104
Friday 02-Feb-2018 16:00:00,5.03357853431256,4.79517681844828,7.74151109089137,2.105349322128
Friday 02-Feb-2018 17:00:00,5.26930990391713,4.90151119654108,8.04420081480042,2.29594416865704
Friday 02-Feb-2018 18:00:00,4.3706467777144,4.0071513370182,6.5777445639937,1.82902437325152
Friday 02-Feb-2018 19:00:00,4.3441661319003,4.00844728335388,6.59377897024464,1.74224139959626
Friday 02-Feb-2018 20:00:00,3.89491832214641,3.59006532026779,5.87399126300071,1.60692461898413
Friday 02-Feb-2018 21:00:00,3.51906733255506,3.29534648875303,5.37296227347271,1.40338782011862
Friday 02-Feb-2018 22:00:00,3.28422178196336,3.1562383840895,5.05536675527253,1.33229675633999
Friday 02-Feb-2018 23:00:00,3.11749875633941,3.14007538610027,4.93893428844129,1.32504226371059
Saturday 03-Feb-2018 00:00:00,3.05593161022696,3.18029205069904,4.92065361589975,1.28815766286661
Saturday 03-Feb-2018 01:00:00,2.9992552148549,3.21720501763207,4.89536255005068,1.26912485489815
Saturday 03-Feb-2018 02:00:00,3.04031314953002,3.52540242392189,5.15842612716921,1.25088973479598
Saturday 03-Feb-2018 03:00:00,3.18855688186085,3.8872784985818,5.53685210905361,1.27777931957957
Saturday 03-Feb-2018 04:00:00,3.29170343926469,4.07510117307863,5.73237512664692,1.32451775882897
Saturday 03-Feb-2018 05:00:00,3.16181856250055,3.87392939387846,5.52367094987514,1.31785157780756
Saturday 03-Feb-2018 06:00:00,3.07308196946388,3.71400387438689,5.35852624539833,1.25549305939565
Saturday 03-Feb-2018 07:00:00,3.03520158206588,3.56785977155711,5.19313705023032,1.2700513938649
Saturday 03-Feb-2018 08:00:00,2.87930102616341,3.09618326701438,4.6950800503299,1.29887445065267
Saturday 03-Feb-2018 09:00:00,2.94042996496373,2.99674990115433,4.63533402734023,1.33200016570717
Saturday 03-Feb-2018 10:00:00,3.0469209951695,2.93674920317235,4.64961238668333,1.38059525639856
Saturday 03-Feb-2018 11:00:00,3.00262969428178,2.87445945630193,4.54601042176517,1.31950601256
Saturday 03-Feb-2018 12:00:00,3.19388146522538,3.05701144677711,4.87814849205265,1.3266243839072
Saturday 03-Feb-2018 13:00:00,3.68274963154418,3.77788348638553,5.84440250871331,1.36818571408749
Saturday 03-Feb-2018 14:00:00,3.23656635856477,3.04717449107126,4.8927506565695,1.28673164051562
Saturday 03-Feb-2018 15:00:00,3.04781103606015,2.85182143845186,4.57813196297837,1.19573212404925
Saturday 03-Feb-2018 16:00:00,3.22521511191749,2.98705392692995,4.84261955513603,1.17559063037224
Saturday 03-Feb-2018 17:00:00,3.30073576442971,3.06679841858592,4.92327897883791,1.25423078805529
Saturday 03-Feb-2018 18:00:00,3.04778979033871,2.81828687529694,4.49894744609771,1.14676167894781
Saturday 03-Feb-2018 19:00:00,2.82107670416689,2.58603039714952,4.13859107687842,1.10711841474968
Saturday 03-Feb-2018 20:00:00,2.70435919496766,2.45828906766152,3.96595645832745,1.07867302522096
